from_node,to_node,distance_m,estimated_time_min,path_type,accessibility,crowd_level,lighting,covered_path,elevation_change_m,indoor
18,53,250.66,2.7,indoor,TRUE,5,TRUE,TRUE,5.47,TRUE
16,20,114.89,1.88,stairs,FALSE,1,FALSE,FALSE,6.86,FALSE
30,8,345.44,4.16,indoor,TRUE,2,FALSE,TRUE,9.16,TRUE
70,23,128.24,1.87,elevator,TRUE,5,FALSE,TRUE,0.48,TRUE
27,61,104.96,1.1,stairs,FALSE,3,TRUE,FALSE,2.78,FALSE
6,67,477.58,5,indoor,TRUE,3,FALSE,TRUE,8.21,TRUE
60,63,95.24,0.95,stairs,FALSE,5,TRUE,TRUE,8.84,FALSE
7,57,233.51,3.42,stairs,FALSE,1,FALSE,FALSE,4.17,FALSE
67,50,436.77,7.11,indoor,TRUE,1,FALSE,FALSE,9.98,TRUE
55,5,454.71,6.53,indoor,TRUE,3,FALSE,TRUE,1.9,TRUE
24,45,198.8,2.76,bike_lane,TRUE,5,FALSE,TRUE,4.12,FALSE
10,68,154.78,1.61,stairs,FALSE,2,FALSE,TRUE,3.68,FALSE
52,58,181.82,2.26,elevator,TRUE,3,TRUE,TRUE,0.61,TRUE
56,25,197.38,2.04,stairs,FALSE,5,TRUE,TRUE,0.41,FALSE
36,31,104.31,1.55,elevator,TRUE,4,FALSE,FALSE,5.33,TRUE
46,62,391.29,6.45,paved,TRUE,5,TRUE,TRUE,8.83,FALSE
47,22,425.69,6.22,indoor,TRUE,5,TRUE,TRUE,1.45,TRUE
42,45,354.38,3.63,gravel,TRUE,2,TRUE,FALSE,5.94,FALSE
58,62,335.12,3.38,elevator,TRUE,5,TRUE,TRUE,0.28,TRUE
49,24,159.31,1.99,elevator,TRUE,5,TRUE,TRUE,3.48,TRUE
24,34,464.22,5.73,bike_lane,TRUE,4,TRUE,FALSE,6.53,FALSE
52,37,447.55,4.54,stairs,FALSE,5,TRUE,FALSE,0.18,FALSE
48,52,395.9,5.81,paved,TRUE,5,FALSE,TRUE,2.71,FALSE
59,1,428.78,4.64,indoor,TRUE,4,TRUE,TRUE,9.39,TRUE
30,48,328.57,4.31,elevator,TRUE,1,FALSE,FALSE,8.25,TRUE
6,63,335.28,5.02,gravel,TRUE,3,TRUE,FALSE,9.8,FALSE
36,63,331.8,3.35,indoor,TRUE,1,TRUE,TRUE,1.81,TRUE
37,25,359.02,3.83,indoor,TRUE,3,FALSE,FALSE,1.33,TRUE
28,58,314.6,3.29,indoor,TRUE,4,TRUE,TRUE,6.68,TRUE
42,17,404.65,5.92,indoor,TRUE,2,FALSE,TRUE,6.98,TRUE
30,40,470.14,7.34,stairs,FALSE,1,TRUE,FALSE,3.21,FALSE
46,13,494.38,6.17,paved,TRUE,2,TRUE,TRUE,1.33,FALSE
33,30,87.36,0.88,bike_lane,TRUE,2,TRUE,TRUE,0.65,FALSE
25,2,187.9,2.79,elevator,TRUE,3,TRUE,TRUE,4.59,TRUE
65,69,357.87,3.64,paved,TRUE,2,TRUE,FALSE,0.32,FALSE
61,54,54.39,0.63,elevator,TRUE,1,TRUE,FALSE,2.85,TRUE
64,20,250.41,2.87,gravel,TRUE,2,FALSE,TRUE,9.19,FALSE
40,47,118.47,1.87,paved,TRUE,4,FALSE,FALSE,2.85,FALSE
54,65,349.04,3.68,indoor,TRUE,1,FALSE,TRUE,6.06,TRUE
70,63,372.93,5.16,elevator,TRUE,3,FALSE,TRUE,7.69,TRUE
4,57,172.69,2.22,elevator,TRUE,2,FALSE,TRUE,9.43,TRUE
38,33,376.08,3.98,gravel,TRUE,3,TRUE,TRUE,7.17,FALSE
65,16,416.15,6.66,bike_lane,TRUE,4,TRUE,TRUE,7.22,FALSE
68,39,51.81,0.72,paved,TRUE,5,TRUE,FALSE,2.92,FALSE
25,55,94.76,1.49,bike_lane,TRUE,5,TRUE,FALSE,5.53,FALSE
26,60,336.5,5.39,stairs,FALSE,5,FALSE,FALSE,4.7,FALSE
10,61,338.27,3.73,elevator,TRUE,5,FALSE,TRUE,1.61,TRUE
65,9,225.89,2.43,gravel,TRUE,1,FALSE,TRUE,0.23,FALSE
21,4,422.19,4.95,bike_lane,TRUE,5,FALSE,TRUE,4.7,FALSE
2,39,339.5,5.21,stairs,FALSE,1,TRUE,TRUE,3.45,FALSE
4,12,232.06,2.53,stairs,FALSE,1,FALSE,TRUE,6.01,FALSE
19,58,69.43,0.81,stairs,FALSE,4,FALSE,FALSE,0.7,FALSE
8,67,185.85,1.92,elevator,TRUE,3,FALSE,TRUE,0.49,TRUE
53,13,125.81,2.01,elevator,TRUE,1,TRUE,TRUE,0.2,TRUE
10,64,187.22,2.47,gravel,TRUE,3,TRUE,FALSE,6.98,FALSE
41,23,179.9,1.81,indoor,TRUE,4,TRUE,TRUE,7.64,TRUE
69,44,61.16,0.63,paved,TRUE,5,TRUE,FALSE,7.82,FALSE
61,27,362,5.18,indoor,TRUE,5,TRUE,TRUE,6.99,TRUE
49,38,374.01,4.28,elevator,TRUE,1,TRUE,TRUE,7.92,TRUE
23,21,207.59,2.21,paved,TRUE,3,TRUE,TRUE,1.08,FALSE
50,9,348.61,3.66,gravel,TRUE,1,FALSE,FALSE,3.3,FALSE
9,22,246.23,4.07,gravel,TRUE,5,TRUE,FALSE,7.71,FALSE
56,7,113.74,1.35,stairs,FALSE,4,FALSE,TRUE,9.76,FALSE
69,21,53.72,0.7,gravel,TRUE,5,TRUE,FALSE,5.16,FALSE
6,26,455.45,7.47,stairs,FALSE,2,FALSE,FALSE,0.58,FALSE
40,7,274.47,4.27,gravel,TRUE,2,TRUE,FALSE,0.79,FALSE
12,30,214.56,3.31,gravel,TRUE,2,TRUE,FALSE,4.23,FALSE
70,40,50.6,0.81,bike_lane,TRUE,5,FALSE,TRUE,1.49,FALSE
63,60,272.57,2.8,stairs,FALSE,4,TRUE,FALSE,6.97,FALSE
